"id","paperId","questionId","entryNumber","answerText","marksAwarded","guidanceNotes","rawLlMExtractedMarkScheme"
"210","26","","1","Mammal feature: hair","1","","{""linked_question_db_id"":null,""entry_number"":""1"",""answer_text"":""Mammal feature: hair"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"211","26","","2","Characteristics demonstrated: breathing, growth, excretion, sensitivity, movement, reproduction, nutrition","1","","{""linked_question_db_id"":null,""entry_number"":""2"",""answer_text"":""Characteristics demonstrated: breathing, growth, excretion, sensitivity, movement, reproduction, nutrition"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"212","26","","3","Most recent common ancestor: reptiles","1","","{""linked_question_db_id"":null,""entry_number"":""3"",""answer_text"":""Most recent common ancestor: reptiles"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"213","26","","4","Organisation level: tissue","1","","{""linked_question_db_id"":null,""entry_number"":""4"",""answer_text"":""Organisation level: tissue"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"214","26","","5","Magnification: not provided","0","","{""linked_question_db_id"":null,""entry_number"":""5"",""answer_text"":""Magnification: not provided"",""marks_awarded"":0,""guidance_notes"":null,""correct_mcq_option"":null}"
"215","26","","6","Correct arrow for CO2 diffusion on a sunny day","1","","{""linked_question_db_id"":null,""entry_number"":""6"",""answer_text"":""Correct arrow for CO2 diffusion on a sunny day"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"216","26","","7","Molecules will move from high to low concentration","1","","{""linked_question_db_id"":null,""entry_number"":""7"",""answer_text"":""Molecules will move from high to low concentration"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"217","26","","8","Element found in proteins but not carbohydrates: nitrogen","1","","{""linked_question_db_id"":null,""entry_number"":""8"",""answer_text"":""Element found in proteins but not carbohydrates: nitrogen"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"218","26","","9","Explanation for enzymes not working at high temperatures: denaturation of enzyme structure","1","","{""linked_question_db_id"":null,""entry_number"":""9"",""answer_text"":""Explanation for enzymes not working at high temperatures: denaturation of enzyme structure"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"219","26","","10","Substances used in photosynthesis: CO2 and H2O","1","","{""linked_question_db_id"":null,""entry_number"":""10"",""answer_text"":""Substances used in photosynthesis: CO2 and H2O"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"220","26","","11","Definition of ingestion","1","","{""linked_question_db_id"":null,""entry_number"":""11"",""answer_text"":""Definition of ingestion"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"221","26","","12","Deficient nutrient in kwashiorkor: protein","1","","{""linked_question_db_id"":null,""entry_number"":""12"",""answer_text"":""Deficient nutrient in kwashiorkor: protein"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"222","26","","13","Cause of tooth enamel hole: acid erosion or dental caries","1","","{""linked_question_db_id"":null,""entry_number"":""13"",""answer_text"":""Cause of tooth enamel hole: acid erosion or dental caries"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"223","26","","14","Description of translocation: transport of organic solutes in phloem","1","","{""linked_question_db_id"":null,""entry_number"":""14"",""answer_text"":""Description of translocation: transport of organic solutes in phloem"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"224","26","","15","Function of the lymphatic system: defense against infection and removal of interstitial fluid","1","","{""linked_question_db_id"":null,""entry_number"":""15"",""answer_text"":""Function of the lymphatic system: defense against infection and removal of interstitial fluid"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"225","26","","16","Effect of very low platelet levels: impaired blood clotting and increased risk of bleeding","1","","{""linked_question_db_id"":null,""entry_number"":""16"",""answer_text"":""Effect of very low platelet levels: impaired blood clotting and increased risk of bleeding"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"226","26","","17","Common feature of active and passive immunity: presence of antibodies","1","","{""linked_question_db_id"":null,""entry_number"":""17"",""answer_text"":""Common feature of active and passive immunity: presence of antibodies"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"227","26","","18","Graph showing breathing after exercise: increased rate and depth","1","","{""linked_question_db_id"":null,""entry_number"":""18"",""answer_text"":""Graph showing breathing after exercise: increased rate and depth"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"228","26","","19","Bell jar with most oxygen: first bell jar (connected to air pump)","1","","{""linked_question_db_id"":null,""entry_number"":""19"",""answer_text"":""Bell jar with most oxygen: first bell jar (connected to air pump)"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"229","26","","20","Products of anaerobic respiration in muscles: lactic acid","1","","{""linked_question_db_id"":null,""entry_number"":""20"",""answer_text"":""Products of anaerobic respiration in muscles: lactic acid"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"230","26","","21","Substance remaining in the blood as it passes through the kidney: urea","1","","{""linked_question_db_id"":null,""entry_number"":""21"",""answer_text"":""Substance remaining in the blood as it passes through the kidney: urea"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"231","26","","22","Row showing effects of increased adrenaline release: increased heart rate, blood pressure, and breathing rate; decreased digestion","1","","{""linked_question_db_id"":null,""entry_number"":""22"",""answer_text"":""Row showing effects of increased adrenaline release: increased heart rate, blood pressure, and breathing rate; decreased digestion"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"232","26","","23","Graph showing highest rate of photosynthesis: middle graph (intermediate CO2 concentration)","1","","{""linked_question_db_id"":null,""entry_number"":""23"",""answer_text"":""Graph showing highest rate of photosynthesis: middle graph (intermediate CO2 concentration)"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"233","26","","24","Advantage of asexual reproduction in plants: rapid multiplication and no genetic variation","1","","{""linked_question_db_id"":null,""entry_number"":""24"",""answer_text"":""Advantage of asexual reproduction in plants: rapid multiplication and no genetic variation"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"234","26","","25","Source of greatest variation in offspring during sexual reproduction in plants: crossing over and independent assortment of chromosomes during meiosis","1","","{""linked_question_db_id"":null,""entry_number"":""25"",""answer_text"":""Source of greatest variation in offspring during sexual reproduction in plants: crossing over and independent assortment of chromosomes during meiosis"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"235","26","","26","Function of structure X in sperm: acrosome containing enzymes for penetrating the egg","1","","{""linked_question_db_id"":null,""entry_number"":""26"",""answer_text"":""Function of structure X in sperm: acrosome containing enzymes for penetrating the egg"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"236","26","","27","Hormone given to women undergoing fertility treatment: FSH or hCG","1","","{""linked_question_db_id"":null,""entry_number"":""27"",""answer_text"":""Hormone given to women undergoing fertility treatment: FSH or hCG"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"237","26","","28","Cell X at fertilization: zygote","1","","{""linked_question_db_id"":null,""entry_number"":""28"",""answer_text"":""Cell X at fertilization: zygote"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"238","26","","29","Number of chromosomes in each resulting cell after two mitotic divisions starting with a cell containing 16 chromosomes: 16","1","","{""linked_question_db_id"":null,""entry_number"":""29"",""answer_text"":""Number of chromosomes in each resulting cell after two mitotic divisions starting with a cell containing 16 chromosomes: 16"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"239","26","","30","Chance that the child will have the same blood group as one of its parents: 1/4 chance for each parent's blood group","1","","{""linked_question_db_id"":null,""entry_number"":""30"",""answer_text"":""Chance that the child will have the same blood group as one of its parents: 1/4 chance for each parent's blood group"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"240","26","","31","Human phenotype affected by environmental and genetic factors: height","1","","{""linked_question_db_id"":null,""entry_number"":""31"",""answer_text"":""Human phenotype affected by environmental and genetic factors: height"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
"241","26","","32","Possible xerophyte adaptation: thick cuticle or reduced leaf surface area","1","","{""linked_question_db_id"":null,""entry_number"":""32"",""answer_text"":""Possible xerophyte adaptation: thick cuticle or reduced leaf surface area"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":null}"
