"id","paperId","questionNumber","questionText","questionType","marks","rawLlMExtractedQuestion"
"207","26","1","Which feature identifies the animal as a mammal?","MCQ","1","{""question_number"":""1"",""question_text"":""Which feature identifies the animal as a mammal?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. eye"",""B. four limbs"",""C. fur"",""D. tail""]}"
"208","26","2","Which characteristics of living things are demonstrated by this sequence?","MCQ","1","{""question_number"":""2"",""question_text"":""Which characteristics of living things are demonstrated by this sequence?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. excretion and growth"",""B. growth and sensitivity"",""C. nutrition and reproduction"",""D. nutrition and sensitivity""]}"
"209","26","3","Which pair of animals have the most recent common ancestor as suggested by the classification?","MCQ","1","{""question_number"":""3"",""question_text"":""Which pair of animals have the most recent common ancestor as suggested by the classification?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. centipede and carp"",""B. flea and frog"",""C. lizard and parrot"",""D. spider and rat""]}"
"210","26","4","Which level of organisation does the sample show?","MCQ","1","{""question_number"":""4"",""question_text"":""Which level of organisation does the sample show?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. cell"",""B. organ"",""C. organ system"",""D. tissue""]}"
"211","26","5","What is the magnification of the photograph?","MCQ","1","{""question_number"":""5"",""question_text"":""What is the magnification of the photograph?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. ×0.6"",""B. ×1.6"",""C. ×1.8"",""D. ×1125""]}"
"212","26","6","Which arrow shows the direction of diffusion of carbon dioxide on a sunny day?","MCQ","1","{""question_number"":""6"",""question_text"":""Which arrow shows the direction of diffusion of carbon dioxide on a sunny day?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. D"",""B. C"",""C. B"",""D. A""]}"
"213","26","7","Which statement describes how the molecules will move?","MCQ","1","{""question_number"":""7"",""question_text"":""Which statement describes how the molecules will move?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Molecules of dissolved substance move from left to right."",""B. Molecules of dissolved substance move from right to left."",""C. Overall, water molecules move from left to right."",""D. Overall, water molecules move from right to left.""]}"
"214","26","8","Which element is found in proteins but not carbohydrates?","MCQ","1","{""question_number"":""8"",""question_text"":""Which element is found in proteins but not carbohydrates?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. carbon"",""B. hydrogen"",""C. nitrogen"",""D. oxygen""]}"
"215","26","9","Many enzymes do not work at temperatures above 60 °C. Which statement explains this?","FRQ","","{""question_number"":""9"",""question_text"":""Many enzymes do not work at temperatures above 60 °C. Which statement explains this?"",""question_type"":""FRQ"",""marks"":null,""mcq_options"":null}"
"216","26","10","Which substances are used for photosynthesis?","MCQ","1","{""question_number"":""10"",""question_text"":""Which substances are used for photosynthesis?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. carbon dioxide and glucose"",""B. carbon dioxide and water"",""C. glucose and oxygen"",""D. glucose and water""]}"
"217","26","11","Which term is defined as the taking of substances into the body through the mouth?","MCQ","1","{""question_number"":""11"",""question_text"":""Which term is defined as the taking of substances into the body through the mouth?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. absorption"",""B. assimilation"",""C. digestion"",""D. ingestion""]}"
