"id","paperId","questionId","entryNumber","answerText","marksAwarded","guidanceNotes","rawLlMExtractedMarkScheme"
"10001","101","1001","1","Ribosomes are responsible for protein synthesis","1","","{""linked_question_db_id"":null,""entry_number"":""1"",""answer_text"":""Ribosomes are responsible for protein synthesis"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"10002","101","1002","2","Chloroplasts are responsible for photosynthesis","1","","{""linked_question_db_id"":null,""entry_number"":""2"",""answer_text"":""Chloroplasts are responsible for photosynthesis"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10003","101","1003","3","Arteries carry oxygenated blood from the heart","1","","{""linked_question_db_id"":null,""entry_number"":""3"",""answer_text"":""Arteries carry oxygenated blood from the heart"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10004","101","1004","4","The gene is the basic unit of heredity","1","","{""linked_question_db_id"":null,""entry_number"":""4"",""answer_text"":""The gene is the basic unit of heredity"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10005","101","1005","5","Amylase breaks down starch into maltose","1","","{""linked_question_db_id"":null,""entry_number"":""5"",""answer_text"":""Amylase breaks down starch into maltose"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10006","101","1006","6","The cell membrane controls what enters and leaves the cell","1","","{""linked_question_db_id"":null,""entry_number"":""6"",""answer_text"":""The cell membrane controls what enters and leaves the cell"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"10007","101","1007","7","The cerebellum controls balance and coordination","1","","{""linked_question_db_id"":null,""entry_number"":""7"",""answer_text"":""The cerebellum controls balance and coordination"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10008","101","1008","8","Transpiration is the process by which plants lose water through their leaves","1","","{""linked_question_db_id"":null,""entry_number"":""8"",""answer_text"":""Transpiration is the process by which plants lose water through their leaves"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""A""}"
"10009","101","1009","9","Insulin regulates blood sugar levels","1","","{""linked_question_db_id"":null,""entry_number"":""9"",""answer_text"":""Insulin regulates blood sugar levels"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10010","101","1010","10","Meiosis produces gametes","1","","{""linked_question_db_id"":null,""entry_number"":""10"",""answer_text"":""Meiosis produces gametes"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10011","102","1011","11","Xylem is responsible for water transport in plants","1","","{""linked_question_db_id"":null,""entry_number"":""11"",""answer_text"":""Xylem is responsible for water transport in plants"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10012","102","1012","12","White blood cells are responsible for immune defense","1","","{""linked_question_db_id"":null,""entry_number"":""12"",""answer_text"":""White blood cells are responsible for immune defense"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"10013","102","1013","13","Oxygen is released during photosynthesis","1","","{""linked_question_db_id"":null,""entry_number"":""13"",""answer_text"":""Oxygen is released during photosynthesis"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10014","102","1014","14","Kidneys are responsible for excretion","1","","{""linked_question_db_id"":null,""entry_number"":""14"",""answer_text"":""Kidneys are responsible for excretion"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"10015","102","1015","15","Cardiac muscle is found in the heart","1","","{""linked_question_db_id"":null,""entry_number"":""15"",""answer_text"":""Cardiac muscle is found in the heart"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"10016","102","1016","16","Cellulose is the main component of plant cell walls","1","","{""linked_question_db_id"":null,""entry_number"":""16"",""answer_text"":""Cellulose is the main component of plant cell walls"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10017","102","1017","17","Cellular respiration converts glucose into energy","1","","{""linked_question_db_id"":null,""entry_number"":""17"",""answer_text"":""Cellular respiration converts glucose into energy"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
"10018","102","1018","18","Red blood cells transport oxygen","1","","{""linked_question_db_id"":null,""entry_number"":""18"",""answer_text"":""Red blood cells transport oxygen"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""C""}"
"10019","102","1019","19","Nuclear pores control what enters and leaves the nucleus","1","","{""linked_question_db_id"":null,""entry_number"":""19"",""answer_text"":""Nuclear pores control what enters and leaves the nucleus"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""D""}"
"10020","102","1020","20","The liver detoxifies harmful substances","1","","{""linked_question_db_id"":null,""entry_number"":""20"",""answer_text"":""The liver detoxifies harmful substances"",""marks_awarded"":1,""guidance_notes"":null,""correct_mcq_option"":""B""}"
