"id","paperId","questionNumber","questionText","questionType","marks","rawLlMExtractedQuestion"
"1001","101","1","Which organelle is responsible for protein synthesis?","MCQ","1","{""question_number"":""1"",""question_text"":""Which organelle is responsible for protein synthesis?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ribosome"",""B. Mitochondria"",""C. Nucleus"",""D. Golgi apparatus""]}"
"1002","101","2","Which process occurs in chloroplasts?","MCQ","1","{""question_number"":""2"",""question_text"":""Which process occurs in chloroplasts?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Respiration"",""B. Photosynthesis"",""C. Protein synthesis"",""D. Cell division""]}"
"1003","101","3","Which blood vessel carries oxygenated blood away from the heart?","MCQ","1","{""question_number"":""3"",""question_text"":""Which blood vessel carries oxygenated blood away from the heart?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Vein"",""B. Artery"",""C. Capillary"",""D. Venule""]}"
"1004","101","4","What is the basic unit of heredity?","MCQ","1","{""question_number"":""4"",""question_text"":""What is the basic unit of heredity?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Chromosome"",""B. Gene"",""C. DNA"",""D. Allele""]}"
"1005","101","5","Which enzyme breaks down starch into maltose?","MCQ","1","{""question_number"":""5"",""question_text"":""Which enzyme breaks down starch into maltose?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Pepsin"",""B. Amylase"",""C. Lipase"",""D. Trypsin""]}"
"1006","101","6","What is the main function of the cell membrane?","MCQ","1","{""question_number"":""6"",""question_text"":""What is the main function of the cell membrane?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Energy production"",""B. Protein synthesis"",""C. Selective permeability"",""D. DNA storage""]}"
"1007","101","7","Which part of the brain controls balance and coordination?","MCQ","1","{""question_number"":""7"",""question_text"":""Which part of the brain controls balance and coordination?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Cerebrum"",""B. Cerebellum"",""C. Medulla"",""D. Hypothalamus""]}"
"1008","101","8","What is the process by which plants lose water through their leaves?","MCQ","1","{""question_number"":""8"",""question_text"":""What is the process by which plants lose water through their leaves?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Transpiration"",""B. Respiration"",""C. Photosynthesis"",""D. Osmosis""]}"
"1009","101","9","Which hormone regulates blood sugar levels?","MCQ","1","{""question_number"":""9"",""question_text"":""Which hormone regulates blood sugar levels?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Adrenaline"",""B. Insulin"",""C. Thyroxine"",""D. Growth hormone""]}"
"1010","101","10","Which type of cell division produces gametes?","MCQ","1","{""question_number"":""10"",""question_text"":""Which type of cell division produces gametes?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Mitosis"",""B. Meiosis"",""C. Binary fission"",""D. Budding""]}"
"1011","102","11","Which tissue transports water in plants?","MCQ","1","{""question_number"":""11"",""question_text"":""Which tissue transports water in plants?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Phloem"",""B. Xylem"",""C. Cambium"",""D. Epidermis""]}"
"1012","102","12","What is the main function of white blood cells?","MCQ","1","{""question_number"":""12"",""question_text"":""What is the main function of white blood cells?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen transport"",""B. Blood clotting"",""C. Immune defense"",""D. Nutrient transport""]}"
"1013","102","13","Which gas is released during photosynthesis?","MCQ","1","{""question_number"":""13"",""question_text"":""Which gas is released during photosynthesis?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Carbon dioxide"",""B. Oxygen"",""C. Nitrogen"",""D. Hydrogen""]}"
