"id","paperId","questionNumber","questionText","questionType","marks","rawLlMExtractedQuestion"
"1001","101","1","Which organelle is responsible for protein synthesis?","MCQ","1","{""question_number"":""1"",""question_text"":""Which organelle is responsible for protein synthesis?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ribosome"",""B. Mitochondria"",""C. Nucleus"",""D. Golgi apparatus""]}"
"1002","101","2","What is the main function of chloroplasts?","MCQ","1","{""question_number"":""2"",""question_text"":""What is the main function of chloroplasts?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Respiration"",""B. Photosynthesis"",""C. Protein synthesis"",""D. Cell division""]}"
"1003","101","3","Which blood vessel carries oxygenated blood from the heart?","MCQ","1","{""question_number"":""3"",""question_text"":""Which blood vessel carries oxygenated blood from the heart?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Vein"",""B. Artery"",""C. Capillary"",""D. Venule""]}"
"1004","101","4","What is the basic unit of heredity?","MCQ","1","{""question_number"":""4"",""question_text"":""What is the basic unit of heredity?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Chromosome"",""B. Gene"",""C. DNA"",""D. Allele""]}"
"1005","101","5","Which enzyme breaks down starch into sugars?","MCQ","1","{""question_number"":""5"",""question_text"":""Which enzyme breaks down starch into sugars?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Pepsin"",""B. Amylase"",""C. Lipase"",""D. Trypsin""]}"
"1006","101","6","What is the function of the cell membrane?","MCQ","1","{""question_number"":""6"",""question_text"":""What is the function of the cell membrane?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Energy production"",""B. Protein synthesis"",""C. Selective permeability"",""D. DNA storage""]}"
"1007","101","7","Which part of the brain controls balance and coordination?","MCQ","1","{""question_number"":""7"",""question_text"":""Which part of the brain controls balance and coordination?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Cerebrum"",""B. Cerebellum"",""C. Medulla"",""D. Hypothalamus""]}"
"1008","101","8","What is the process by which plants lose water through their leaves?","MCQ","1","{""question_number"":""8"",""question_text"":""What is the process by which plants lose water through their leaves?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Transpiration"",""B. Respiration"",""C. Photosynthesis"",""D. Osmosis""]}"
"1009","101","9","Which hormone regulates blood sugar levels?","MCQ","1","{""question_number"":""9"",""question_text"":""Which hormone regulates blood sugar levels?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Adrenaline"",""B. Insulin"",""C. Thyroxine"",""D. Growth hormone""]}"
"1010","101","10","What type of cell division produces gametes?","MCQ","1","{""question_number"":""10"",""question_text"":""What type of cell division produces gametes?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Mitosis"",""B. Meiosis"",""C. Binary fission"",""D. Budding""]}"
"1011","102","11","Which structure in plants is responsible for water transport?","MCQ","1","{""question_number"":""11"",""question_text"":""Which structure in plants is responsible for water transport?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Phloem"",""B. Xylem"",""C. Cambium"",""D. Epidermis""]}"
"1012","102","12","What is the role of white blood cells?","MCQ","1","{""question_number"":""12"",""question_text"":""What is the role of white blood cells?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen transport"",""B. Blood clotting"",""C. Immune defense"",""D. Nutrient transport""]}"
"1013","102","13","Which gas is released during photosynthesis?","MCQ","1","{""question_number"":""13"",""question_text"":""Which gas is released during photosynthesis?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Carbon dioxide"",""B. Oxygen"",""C. Nitrogen"",""D. Hydrogen""]}"
"1014","102","14","What is the function of the kidneys?","MCQ","1","{""question_number"":""14"",""question_text"":""What is the function of the kidneys?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Circulation"",""C. Excretion"",""D. Respiration""]}"
"1015","102","15","Which type of muscle is found in the heart?","MCQ","1","{""question_number"":""15"",""question_text"":""Which type of muscle is found in the heart?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Skeletal"",""B. Smooth"",""C. Cardiac"",""D. Voluntary""]}"
"1016","102","16","What is the main component of plant cell walls?","MCQ","1","{""question_number"":""16"",""question_text"":""What is the main component of plant cell walls?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Protein"",""B. Cellulose"",""C. Lipid"",""D. Starch""]}"
"1017","102","17","Which process converts glucose into energy in cells?","MCQ","1","{""question_number"":""17"",""question_text"":""Which process converts glucose into energy in cells?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Photosynthesis"",""B. Cellular respiration"",""C. Fermentation"",""D. Glycolysis""]}"
"1018","102","18","What is the function of red blood cells?","MCQ","1","{""question_number"":""18"",""question_text"":""What is the function of red blood cells?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Immune defense"",""B. Blood clotting"",""C. Oxygen transport"",""D. Nutrient storage""]}"
"1019","102","19","Which structure controls what enters and leaves the nucleus?","MCQ","1","{""question_number"":""19"",""question_text"":""Which structure controls what enters and leaves the nucleus?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Nuclear membrane"",""B. Nucleolus"",""C. Chromatin"",""D. Nuclear pore""]}"
"1020","102","20","What is the primary function of the liver?","MCQ","1","{""question_number"":""20"",""question_text"":""What is the primary function of the liver?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen transport"",""B. Detoxification"",""C. Hormone production"",""D. Blood circulation""]}"
"1021","103","21","Which vitamin is produced when skin is exposed to sunlight?","MCQ","1","{""question_number"":""21"",""question_text"":""Which vitamin is produced when skin is exposed to sunlight?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Vitamin A"",""B. Vitamin C"",""C. Vitamin D"",""D. Vitamin K""]}"
"1022","103","22","What is the function of platelets in blood?","MCQ","1","{""question_number"":""22"",""question_text"":""What is the function of platelets in blood?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen transport"",""B. Immune defense"",""C. Blood clotting"",""D. Nutrient transport""]}"
"1023","103","23","Which organelle is known as the powerhouse of the cell?","MCQ","1","{""question_number"":""23"",""question_text"":""Which organelle is known as the powerhouse of the cell?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Nucleus"",""B. Mitochondria"",""C. Ribosome"",""D. Endoplasmic reticulum""]}"
"1024","103","24","What is the process of cell eating called?","MCQ","1","{""question_number"":""24"",""question_text"":""What is the process of cell eating called?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Pinocytosis"",""B. Phagocytosis"",""C. Exocytosis"",""D. Endocytosis""]}"
"1025","103","25","Which part of the flower produces pollen?","MCQ","1","{""question_number"":""25"",""question_text"":""Which part of the flower produces pollen?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Pistil"",""B. Stamen"",""C. Sepal"",""D. Petal""]}"
"1026","103","26","What is the main function of the small intestine?","MCQ","1","{""question_number"":""26"",""question_text"":""What is the main function of the small intestine?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Water absorption"",""B. Nutrient absorption"",""C. Waste storage"",""D. Enzyme production""]}"
"1027","103","27","Which type of reproduction involves only one parent?","MCQ","1","{""question_number"":""27"",""question_text"":""Which type of reproduction involves only one parent?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Sexual"",""B. Asexual"",""C. Binary"",""D. Conjugation""]}"
"1028","103","28","What is the function of the stomata in leaves?","MCQ","1","{""question_number"":""28"",""question_text"":""What is the function of the stomata in leaves?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Photosynthesis"",""B. Gas exchange"",""C. Water storage"",""D. Nutrient transport""]}"
"1029","103","29","Which hormone is responsible for plant growth towards light?","MCQ","1","{""question_number"":""29"",""question_text"":""Which hormone is responsible for plant growth towards light?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Gibberellin"",""B. Cytokinin"",""C. Auxin"",""D. Abscisic acid""]}"
"1030","103","30","What is the basic unit of the nervous system?","MCQ","1","{""question_number"":""30"",""question_text"":""What is the basic unit of the nervous system?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Neuron"",""B. Synapse"",""C. Dendrite"",""D. Axon""]}"
"1031","104","31","Which process allows plants to make their own food?","MCQ","1","{""question_number"":""31"",""question_text"":""Which process allows plants to make their own food?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Respiration"",""B. Photosynthesis"",""C. Transpiration"",""D. Digestion""]}"
"1032","104","32","What is the function of the cell wall in plants?","MCQ","1","{""question_number"":""32"",""question_text"":""What is the function of the cell wall in plants?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Energy production"",""B. Structural support"",""C. Protein synthesis"",""D. Waste removal""]}"
"1033","104","33","Which blood component is responsible for immunity?","MCQ","1","{""question_number"":""33"",""question_text"":""Which blood component is responsible for immunity?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Red blood cells"",""B. White blood cells"",""C. Platelets"",""D. Plasma""]}"
