"id","paperId","questionNumber","questionText","questionType","marks","rawLlMExtractedQuestion"
"2001","201","1","What is the atomic number of hydrogen?","MCQ","1","{""question_number"":""1"",""question_text"":""What is the atomic number of hydrogen?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 1"",""B. 2"",""C. 3"",""D. 4""]}"
"2002","201","2","Which element has the symbol O?","MCQ","1","{""question_number"":""2"",""question_text"":""Which element has the symbol O?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Osmium"",""B. Oxygen"",""C. Gold"",""D. Silver""]}"
"2003","201","3","What is the chemical formula for table salt?","MCQ","1","{""question_number"":""3"",""question_text"":""What is the chemical formula for table salt?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. NaCl"",""B. KCl"",""C. CaCl2"",""D. MgCl2""]}"
"2004","201","4","Which gas makes up about 78% of Earth's atmosphere?","MCQ","1","{""question_number"":""4"",""question_text"":""Which gas makes up about 78% of Earth's atmosphere?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen"",""B. Carbon dioxide"",""C. Nitrogen"",""D. Argon""]}"
"2005","201","5","What is the pH of pure water at 25°C?","MCQ","1","{""question_number"":""5"",""question_text"":""What is the pH of pure water at 25°C?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 6"",""B. 7"",""C. 8"",""D. 9""]}"
"2006","201","6","Which type of bond forms between metals and non-metals?","MCQ","1","{""question_number"":""6"",""question_text"":""Which type of bond forms between metals and non-metals?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Covalent"",""B. Ionic"",""C. Metallic"",""D. Hydrogen""]}"
"2007","201","7","What is the molecular formula for glucose?","MCQ","1","{""question_number"":""7"",""question_text"":""What is the molecular formula for glucose?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. C6H12O6"",""B. C12H22O11"",""C. C2H6O"",""D. CH4""]}"
"2008","201","8","Which element is essential for all organic compounds?","MCQ","1","{""question_number"":""8"",""question_text"":""Which element is essential for all organic compounds?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Hydrogen"",""B. Oxygen"",""C. Carbon"",""D. Nitrogen""]}"
"2009","201","9","What happens to the volume of a gas when temperature increases at constant pressure?","MCQ","1","{""question_number"":""9"",""question_text"":""What happens to the volume of a gas when temperature increases at constant pressure?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Decreases"",""B. Increases"",""C. Stays the same"",""D. Becomes zero""]}"
"2010","201","10","Which process involves the breakdown of compounds using electricity?","MCQ","1","{""question_number"":""10"",""question_text"":""Which process involves the breakdown of compounds using electricity?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Electrolysis"",""B. Combustion"",""C. Oxidation"",""D. Reduction""]}"
"2011","202","11","What is the mass number of an atom with 6 protons and 8 neutrons?","MCQ","1","{""question_number"":""11"",""question_text"":""What is the mass number of an atom with 6 protons and 8 neutrons?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 6"",""B. 8"",""C. 14"",""D. 2""]}"
"2012","202","12","Which metal is most reactive?","MCQ","1","{""question_number"":""12"",""question_text"":""Which metal is most reactive?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Iron"",""B. Copper"",""C. Potassium"",""D. Gold""]}"
"2013","202","13","What is produced when an acid reacts with a carbonate?","MCQ","1","{""question_number"":""13"",""question_text"":""What is produced when an acid reacts with a carbonate?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Hydrogen gas"",""B. Oxygen gas"",""C. Carbon dioxide gas"",""D. Nitrogen gas""]}"
"2014","202","14","Which compound is formed when sodium burns in oxygen?","MCQ","1","{""question_number"":""14"",""question_text"":""Which compound is formed when sodium burns in oxygen?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. NaO"",""B. Na2O"",""C. NaO2"",""D. Na2O2""]}"
"2015","202","15","What is the common name for calcium carbonate?","MCQ","1","{""question_number"":""15"",""question_text"":""What is the common name for calcium carbonate?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Lime"",""B. Limestone"",""C. Gypsum"",""D. Marble""]}"
"2016","202","16","Which gas is produced when zinc reacts with hydrochloric acid?","MCQ","1","{""question_number"":""16"",""question_text"":""Which gas is produced when zinc reacts with hydrochloric acid?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen"",""B. Hydrogen"",""C. Carbon dioxide"",""D. Nitrogen""]}"
"2017","202","17","What is the chemical symbol for iron?","MCQ","1","{""question_number"":""17"",""question_text"":""What is the chemical symbol for iron?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ir"",""B. Fe"",""C. In"",""D. I""]}"
"2018","202","18","Which type of reaction releases energy?","MCQ","1","{""question_number"":""18"",""question_text"":""Which type of reaction releases energy?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Endothermic"",""B. Exothermic"",""C. Isothermic"",""D. Adiabatic""]}"
"2019","202","19","What is the valency of aluminum?","MCQ","1","{""question_number"":""19"",""question_text"":""What is the valency of aluminum?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 1"",""B. 2"",""C. 3"",""D. 4""]}"
"2020","202","20","Which indicator turns red in acidic solutions?","MCQ","1","{""question_number"":""20"",""question_text"":""Which indicator turns red in acidic solutions?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Phenolphthalein"",""B. Litmus"",""C. Methyl orange"",""D. Universal indicator""]}"
