"id","paperId","questionNumber","questionText","questionType","marks","rawLlMExtractedQuestion"
"3001","301","1","What is the SI unit of electric current?","MCQ","1","{""question_number"":""1"",""question_text"":""What is the SI unit of electric current?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ampere"",""B. Volt"",""C. Ohm"",""D. Watt""]}"
"3002","301","2","Which law states that the current through a conductor is proportional to the voltage?","MCQ","1","{""question_number"":""2"",""question_text"":""Which law states that the current through a conductor is proportional to the voltage?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Newton's law"",""B. Ohm's law"",""C. Faraday's law"",""D. Coulomb's law""]}"
"3003","301","3","What is the speed of light in vacuum?","MCQ","1","{""question_number"":""3"",""question_text"":""What is the speed of light in vacuum?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 3 × 10⁸ m/s"",""B. 3 × 10⁶ m/s"",""C. 3 × 10⁷ m/s"",""D. 3 × 10⁹ m/s""]}"
"3004","301","4","Which type of wave requires a medium to travel?","MCQ","1","{""question_number"":""4"",""question_text"":""Which type of wave requires a medium to travel?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Light wave"",""B. Radio wave"",""C. Sound wave"",""D. X-ray""]}"
"3005","301","5","What is the formula for kinetic energy?","MCQ","1","{""question_number"":""5"",""question_text"":""What is the formula for kinetic energy?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. KE = mv"",""B. KE = ½mv²"",""C. KE = mv²"",""D. KE = ½mv""]}"
"3006","301","6","Which particle has no electric charge?","MCQ","1","{""question_number"":""6"",""question_text"":""Which particle has no electric charge?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Proton"",""B. Electron"",""C. Neutron"",""D. Ion""]}"
"3007","301","7","What is the acceleration due to gravity on Earth?","MCQ","1","{""question_number"":""7"",""question_text"":""What is the acceleration due to gravity on Earth?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 9.8 m/s²"",""B. 10 m/s²"",""C. 8.9 m/s²"",""D. 11 m/s²""]}"
"3008","301","8","Which quantity is a vector?","MCQ","1","{""question_number"":""8"",""question_text"":""Which quantity is a vector?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Speed"",""B. Distance"",""C. Velocity"",""D. Time""]}"
"3009","301","9","What happens to resistance when length of wire is doubled?","MCQ","1","{""question_number"":""9"",""question_text"":""What happens to resistance when length of wire is doubled?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Halves"",""B. Doubles"",""C. Remains same"",""D. Quadruples""]}"
"3010","301","10","Which electromagnetic radiation has the highest frequency?","MCQ","1","{""question_number"":""10"",""question_text"":""Which electromagnetic radiation has the highest frequency?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Radio waves"",""B. Visible light"",""C. X-rays"",""D. Gamma rays""]}"
"3011","302","11","What is the SI unit of power?","MCQ","1","{""question_number"":""11"",""question_text"":""What is the SI unit of power?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Joule"",""B. Watt"",""C. Newton"",""D. Pascal""]}"
"3012","302","12","Which law relates force, mass, and acceleration?","MCQ","1","{""question_number"":""12"",""question_text"":""Which law relates force, mass, and acceleration?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Newton's first law"",""B. Newton's second law"",""C. Newton's third law"",""D. Law of conservation""]}"
"3013","302","13","What is the frequency of a wave with wavelength 2m and speed 10 m/s?","MCQ","1","{""question_number"":""13"",""question_text"":""What is the frequency of a wave with wavelength 2m and speed 10 m/s?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 5 Hz"",""B. 20 Hz"",""C. 12 Hz"",""D. 8 Hz""]}"
"3014","302","14","Which material is the best conductor of electricity?","MCQ","1","{""question_number"":""14"",""question_text"":""Which material is the best conductor of electricity?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Copper"",""B. Silver"",""C. Gold"",""D. Aluminum""]}"
"3015","302","15","What is the formula for potential energy?","MCQ","1","{""question_number"":""15"",""question_text"":""What is the formula for potential energy?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. PE = mgh"",""B. PE = mg"",""C. PE = mh"",""D. PE = gh""]}"
"3016","302","16","Which force keeps planets in orbit around the sun?","MCQ","1","{""question_number"":""16"",""question_text"":""Which force keeps planets in orbit around the sun?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Magnetic force"",""B. Electric force"",""C. Gravitational force"",""D. Nuclear force""]}"
"3017","302","17","What is the SI unit of frequency?","MCQ","1","{""question_number"":""17"",""question_text"":""What is the SI unit of frequency?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Hertz"",""B. Meter"",""C. Second"",""D. Joule""]}"
"3018","302","18","Which type of lens converges light rays?","MCQ","1","{""question_number"":""18"",""question_text"":""Which type of lens converges light rays?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Concave lens"",""B. Convex lens"",""C. Plane lens"",""D. Cylindrical lens""]}"
"3019","302","19","What happens to kinetic energy when speed doubles?","MCQ","1","{""question_number"":""19"",""question_text"":""What happens to kinetic energy when speed doubles?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Doubles"",""B. Halves"",""C. Quadruples"",""D. Remains same""]}"
"3020","302","20","Which principle explains how airplanes fly?","MCQ","1","{""question_number"":""20"",""question_text"":""Which principle explains how airplanes fly?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Archimedes' principle"",""B. Bernoulli's principle"",""C. Pascal's principle"",""D. Hooke's law""]}"
"3021","303","21","Explain the concept of momentum and how it is conserved in collisions.","FRQ","4","{""question_number"":""21"",""question_text"":""Explain the concept of momentum and how it is conserved in collisions."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"3022","303","22","Describe the structure of an atom and explain the properties of its subatomic particles.","FRQ","5","{""question_number"":""22"",""question_text"":""Describe the structure of an atom and explain the properties of its subatomic particles."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"3023","303","23","Explain the difference between series and parallel circuits, including their characteristics.","FRQ","4","{""question_number"":""23"",""question_text"":""Explain the difference between series and parallel circuits, including their characteristics."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"3024","303","24","Describe the electromagnetic spectrum and give examples of applications for different types of waves.","FRQ","5","{""question_number"":""24"",""question_text"":""Describe the electromagnetic spectrum and give examples of applications for different types of waves."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"3025","303","25","Explain Newton's laws of motion and give examples of each.","FRQ","6","{""question_number"":""25"",""question_text"":""Explain Newton's laws of motion and give examples of each."",""question_type"":""FRQ"",""marks"":6,""mcq_options"":null}"
"3026","303","26","Describe the process of nuclear fission and how it is used in nuclear power plants.","FRQ","5","{""question_number"":""26"",""question_text"":""Describe the process of nuclear fission and how it is used in nuclear power plants."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"3027","303","27","Explain the concept of specific heat capacity and how it affects temperature changes.","FRQ","4","{""question_number"":""27"",""question_text"":""Explain the concept of specific heat capacity and how it affects temperature changes."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"3028","303","28","Describe the properties of waves, including reflection, refraction, diffraction, and interference.","FRQ","6","{""question_number"":""28"",""question_text"":""Describe the properties of waves, including reflection, refraction, diffraction, and interference."",""question_type"":""FRQ"",""marks"":6,""mcq_options"":null}"
"3029","303","29","Explain the concept of work, energy, and power, and how they are related.","FRQ","5","{""question_number"":""29"",""question_text"":""Explain the concept of work, energy, and power, and how they are related."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"3030","303","30","Describe the principles of electromagnetism and how they are applied in electric motors.","FRQ","5","{""question_number"":""30"",""question_text"":""Describe the principles of electromagnetism and how they are applied in electric motors."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"3031","304","31","Explain the concept of pressure in fluids and how it varies with depth.","FRQ","4","{""question_number"":""31"",""question_text"":""Explain the concept of pressure in fluids and how it varies with depth."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"3032","304","32","Describe the structure and function of a transformer, including the principles of electromagnetic induction.","FRQ","5","{""question_number"":""32"",""question_text"":""Describe the structure and function of a transformer, including the principles of electromagnetic induction."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"3033","304","33","Explain the concept of thermal expansion and its applications.","FRQ","4","{""question_number"":""33"",""question_text"":""Explain the concept of thermal expansion and its applications."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"3034","304","34","Describe the structure and function of a cathode ray oscilloscope (CRO).","FRQ","5","{""question_number"":""34"",""question_text"":""Describe the structure and function of a cathode ray oscilloscope (CRO)."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"3035","304","35","Explain the concept of radioactive decay and half-life.","FRQ","4","{""question_number"":""35"",""question_text"":""Explain the concept of radioactive decay and half-life."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"3036","304","36","Describe the principles of operation of a DC motor.","FRQ","5","{""question_number"":""36"",""question_text"":""Describe the principles of operation of a DC motor."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
