"id","paperId","questionNumber","questionText","questionType","marks","rawLlMExtractedQuestion"
"3001","301","1","What is the SI unit of electric current?","MCQ","1","{""question_number"":""1"",""question_text"":""What is the SI unit of electric current?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ampere"",""B. Volt"",""C. Ohm"",""D. Watt""]}"
"3002","301","2","Which law states that the current through a conductor is proportional to the voltage?","MCQ","1","{""question_number"":""2"",""question_text"":""Which law states that the current through a conductor is proportional to the voltage?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Newton's law"",""B. Ohm's law"",""C. Faraday's law"",""D. Coulomb's law""]}"
"3003","301","3","What is the speed of light in vacuum?","MCQ","1","{""question_number"":""3"",""question_text"":""What is the speed of light in vacuum?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 3 × 10⁸ m/s"",""B. 3 × 10⁶ m/s"",""C. 3 × 10⁷ m/s"",""D. 3 × 10⁹ m/s""]}"
"3004","301","4","Which type of wave requires a medium to travel?","MCQ","1","{""question_number"":""4"",""question_text"":""Which type of wave requires a medium to travel?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Light wave"",""B. Radio wave"",""C. Sound wave"",""D. X-ray""]}"
"3005","301","5","What is the formula for kinetic energy?","MCQ","1","{""question_number"":""5"",""question_text"":""What is the formula for kinetic energy?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. KE = mv"",""B. KE = ½mv²"",""C. KE = mv²"",""D. KE = ½mv""]}"
"3006","301","6","Which particle has no electric charge?","MCQ","1","{""question_number"":""6"",""question_text"":""Which particle has no electric charge?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Proton"",""B. Electron"",""C. Neutron"",""D. Ion""]}"
"3007","301","7","What is the acceleration due to gravity on Earth?","MCQ","1","{""question_number"":""7"",""question_text"":""What is the acceleration due to gravity on Earth?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 9.8 m/s²"",""B. 10 m/s²"",""C. 8.9 m/s²"",""D. 11 m/s²""]}"
"3008","301","8","Which quantity is a vector?","MCQ","1","{""question_number"":""8"",""question_text"":""Which quantity is a vector?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Speed"",""B. Distance"",""C. Velocity"",""D. Time""]}"
"3009","301","9","What happens to resistance when length of wire is doubled?","MCQ","1","{""question_number"":""9"",""question_text"":""What happens to resistance when length of wire is doubled?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Halves"",""B. Doubles"",""C. Remains same"",""D. Quadruples""]}"
"3010","301","10","Which electromagnetic radiation has the highest frequency?","MCQ","1","{""question_number"":""10"",""question_text"":""Which electromagnetic radiation has the highest frequency?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Radio waves"",""B. Visible light"",""C. X-rays"",""D. Gamma rays""]}"
"3011","302","11","What is the SI unit of power?","MCQ","1","{""question_number"":""11"",""question_text"":""What is the SI unit of power?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Joule"",""B. Watt"",""C. Newton"",""D. Pascal""]}"
"3012","302","12","Which law relates force, mass, and acceleration?","MCQ","1","{""question_number"":""12"",""question_text"":""Which law relates force, mass, and acceleration?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Newton's first law"",""B. Newton's second law"",""C. Newton's third law"",""D. Law of conservation""]}"
"3013","302","13","What is the frequency of a wave with wavelength 2m and speed 10 m/s?","MCQ","1","{""question_number"":""13"",""question_text"":""What is the frequency of a wave with wavelength 2m and speed 10 m/s?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 5 Hz"",""B. 20 Hz"",""C. 12 Hz"",""D. 8 Hz""]}"
"3014","302","14","Which material is the best conductor of electricity?","MCQ","1","{""question_number"":""14"",""question_text"":""Which material is the best conductor of electricity?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Copper"",""B. Silver"",""C. Gold"",""D. Aluminum""]}"
"3015","302","15","What is the formula for potential energy?","MCQ","1","{""question_number"":""15"",""question_text"":""What is the formula for potential energy?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. PE = mgh"",""B. PE = mg"",""C. PE = mh"",""D. PE = gh""]}"
"3016","302","16","Which force keeps planets in orbit around the sun?","MCQ","1","{""question_number"":""16"",""question_text"":""Which force keeps planets in orbit around the sun?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Magnetic force"",""B. Electric force"",""C. Gravitational force"",""D. Nuclear force""]}"
"3017","302","17","What is the SI unit of frequency?","MCQ","1","{""question_number"":""17"",""question_text"":""What is the SI unit of frequency?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Hertz"",""B. Meter"",""C. Second"",""D. Joule""]}"
"3018","302","18","Which type of lens converges light rays?","MCQ","1","{""question_number"":""18"",""question_text"":""Which type of lens converges light rays?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Concave lens"",""B. Convex lens"",""C. Plane lens"",""D. Cylindrical lens""]}"
"3019","302","19","What happens to kinetic energy when speed doubles?","MCQ","1","{""question_number"":""19"",""question_text"":""What happens to kinetic energy when speed doubles?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Doubles"",""B. Halves"",""C. Quadruples"",""D. Remains same""]}"
"3020","302","20","Which principle explains how airplanes fly?","MCQ","1","{""question_number"":""20"",""question_text"":""Which principle explains how airplanes fly?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Archimedes' principle"",""B. Bernoulli's principle"",""C. Pascal's principle"",""D. Hooke's law""]}"
"3021","303","21","What is the SI unit of electric charge?","MCQ","1","{""question_number"":""21"",""question_text"":""What is the SI unit of electric charge?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ampere"",""B. Coulomb"",""C. Volt"",""D. Ohm""]}"
"3022","303","22","Which law states that energy cannot be created or destroyed?","MCQ","1","{""question_number"":""22"",""question_text"":""Which law states that energy cannot be created or destroyed?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Newton's law"",""B. Conservation of energy"",""C. Ohm's law"",""D. Hooke's law""]}"
"3023","303","23","What is the relationship between wavelength and frequency?","MCQ","1","{""question_number"":""23"",""question_text"":""What is the relationship between wavelength and frequency?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Directly proportional"",""B. Inversely proportional"",""C. No relationship"",""D. Exponentially related""]}"
"3024","303","24","Which device converts mechanical energy to electrical energy?","MCQ","1","{""question_number"":""24"",""question_text"":""Which device converts mechanical energy to electrical energy?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Motor"",""B. Generator"",""C. Transformer"",""D. Battery""]}"
"3025","303","25","What is the formula for work done?","MCQ","1","{""question_number"":""25"",""question_text"":""What is the formula for work done?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. W = Fd"",""B. W = F/d"",""C. W = F + d"",""D. W = F - d""]}"
"3026","303","26","Which type of current changes direction periodically?","MCQ","1","{""question_number"":""26"",""question_text"":""Which type of current changes direction periodically?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Direct current"",""B. Alternating current"",""C. Static current"",""D. Induced current""]}"
"3027","303","27","What is the SI unit of pressure?","MCQ","1","{""question_number"":""27"",""question_text"":""What is the SI unit of pressure?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Newton"",""B. Pascal"",""C. Joule"",""D. Watt""]}"
"3028","303","28","Which mirror produces virtual, erect, and diminished images?","MCQ","1","{""question_number"":""28"",""question_text"":""Which mirror produces virtual, erect, and diminished images?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Plane mirror"",""B. Concave mirror"",""C. Convex mirror"",""D. Spherical mirror""]}"
"3029","303","29","What is the formula for momentum?","MCQ","1","{""question_number"":""29"",""question_text"":""What is the formula for momentum?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. p = mv"",""B. p = m/v"",""C. p = v/m"",""D. p = m + v""]}"
"3030","303","30","Which wave property determines the pitch of sound?","MCQ","1","{""question_number"":""30"",""question_text"":""Which wave property determines the pitch of sound?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Amplitude"",""B. Frequency"",""C. Wavelength"",""D. Speed""]}"
"3031","304","31","What is the SI unit of magnetic field strength?","MCQ","1","{""question_number"":""31"",""question_text"":""What is the SI unit of magnetic field strength?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Tesla"",""B. Weber"",""C. Henry"",""D. Gauss""]}"
"3032","304","32","Which law describes the relationship between magnetic field and current?","MCQ","1","{""question_number"":""32"",""question_text"":""Which law describes the relationship between magnetic field and current?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ohm's law"",""B. Faraday's law"",""C. Ampere's law"",""D. Lenz's law""]}"
"3033","304","33","What is the refractive index of water approximately?","MCQ","1","{""question_number"":""33"",""question_text"":""What is the refractive index of water approximately?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. 1.0"",""B. 1.33"",""C. 1.5"",""D. 2.0""]}"
